== v4a ==
dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.9793468858131489,0.6617647058823529,0.0,0.01
b,0.7493873914012029,0.7089552238805971,0.0,0.01
c,0.8484875,0.78,0.61,0.01
d,0.9892232403165347,0.8979591836734694,0.7040816326530612,0.01
mean,0.8916112543827216,0.7621697783591048,0.32852040816326533,0.01
== v4b ==
dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.8224480968858132,0.5441176470588235,0.36764705882352944,0.01
b,0.7807975050122522,0.7089552238805971,0.0,0.01
c,0.8270875,0.7475,0.355,0.01
d,0.9616305705955851,0.8520408163265306,0.6224489795918368,0.01
mean,0.8479909181234125,0.7131534218164878,0.3362740096038416,0.01
