== v5 ==
dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.9939446366782007,0.7573529411764706,0.9411764705882353,0.01
b,0.742927155268434,0.7089552238805971,0.0,0.01
c,0.8431124999999999,0.765,0.575,0.01
d,0.9834443981674302,0.9438775510204082,0.7551020408163265,0.01
mean,0.8908571725285162,0.793796429019369,0.5678196278511405,0.01
== v5ns ==
dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.9843209342560554,0.7352941176470589,0.9117647058823529,0.01
b,0.742704388505235,0.6940298507462687,0.0,0.01
c,0.8563125,0.7825,0.66,0.01
d,0.9887026239067055,0.9540816326530612,0.7959183673469388,0.01
mean,0.893010111666999,0.791476400261597,0.5919207683073229,0.01
